student_id,item_id,correct
S01,Q1,1
S01,Q2,0
S01,Q3,1
S01,Q4,0
S01,Q5,1
S01,Q6,1
S01,Q7,0
S01,Q8,1
S01,Q9,0
S01,Q10,1
S02,Q1,1
S02,Q2,1
S02,Q3,1
S02,Q4,0
S02,Q5,1
S02,Q6,1
S02,Q7,1
S02,Q8,1
S02,Q9,0
S02,Q10,1
S03,Q1,0
S03,Q2,0
S03,Q3,0
S03,Q4,0
S03,Q5,0
S03,Q6,1
S03,Q7,0
S03,Q8,0
S03,Q9,0
S03,Q10,0
S04,Q1,1
S04,Q2,1
S04,Q3,1
S04,Q4,1
S04,Q5,1
S04,Q6,1
S04,Q7,1
S04,Q8,1
S04,Q9,1
S04,Q10,1
S05,Q1,0
S05,Q2,1
S05,Q3,0
S05,Q4,0
S05,Q5,1
S05,Q6,0
S05,Q7,1
S05,Q8,0
S05,Q9,0
S05,Q10,1
S06,Q1,1
S06,Q2,0
S06,Q3,1
S06,Q4,1
S06,Q5,0
S06,Q6,1
S06,Q7,0
S06,Q8,1
S06,Q9,1
S06,Q10,0
S07,Q1,1
S07,Q2,1
S07,Q3,1
S07,Q4,1
S07,Q5,0
S07,Q6,1
S07,Q7,1
S07,Q8,1
S07,Q9,1
S07,Q10,1
S08,Q1,0
S08,Q2,0
S08,Q3,1
S08,Q4,0
S08,Q5,0
S08,Q6,0
S08,Q7,0
S08,Q8,1
S08,Q9,0
S08,Q10,0
S09,Q1,1
S09,Q2,0
S09,Q3,1
S09,Q4,1
S09,Q5,1
S09,Q6,1
S09,Q7,0
S09,Q8,1
S09,Q9,1
S09,Q10,1
S10,Q1,0
S10,Q2,0
S10,Q3,0
S10,Q4,0
S10,Q5,1
S10,Q6,0
S10,Q7,0
S10,Q8,0
S10,Q9,0
S10,Q10,0
S11,Q1,1
S11,Q2,1
S11,Q3,1
S11,Q4,0
S11,Q5,1
S11,Q6,1
S11,Q7,1
S11,Q8,1
S11,Q9,0
S11,Q10,1
S12,Q1,0
S12,Q2,1
S12,Q3,1
S12,Q4,1
S12,Q5,0
S12,Q6,1
S12,Q7,0
S12,Q8,1
S12,Q9,0
S12,Q10,1
